year,agency,n_resp,wt_sum,eei,eei_leaders,eei_supervisors,eei_intrinsic,gsi,pci,exi,pp_recommend,pp_job_sat,pp_pay_sat,pp_org_sat,pp_encouraged,pp_workload,pp_skills,pp_perf_diff,pp_sat_recog,pp_recog_quality,leave_no,leave_other,leave_within,leave_outside,leave_any,leave_n_valid,leave_missing_pct,leave2020pre_other,leave2020pre_within,leave2020pre_outside
2021,HU,4361,7382.0,77.28,68.91,84.54,78.4,72.89,89.92,,71.56,76.17,72.38,71.46,73.6,63.7,77.46,62.51,70.55,74.99,70.38,11.06,15.71,2.84,29.62,4158,4.65,,,
2021,IB,786,1301.2,70.24,57.6,77.89,75.24,65.96,81.4,,58.22,73.24,68.07,64.31,65.49,68.24,65.75,52.68,56.83,60.75,76.86,10.74,9.29,3.11,23.14,747,4.96,,,
2021,IN,13984,58928.5,70.2,54.86,80.3,75.45,64.9,84.82,,67.92,69.43,60.54,61.71,69.74,54.68,72.54,52.54,61.95,66.21,65.53,13.96,14.9,5.6,34.47,13157,5.91,,,
2021,NF,905,1365.8,84.49,79.18,88.54,85.75,83.7,92.8,,89.02,83.4,77.11,85.28,83.37,59.17,87.66,66.39,78.94,81.54,74.93,10.27,10.47,4.33,25.07,859,5.08,,,
2021,NQ,1303,2525.1,76.84,65.76,86.31,78.45,68.49,89.39,,67.51,73.4,63.81,69.23,71.44,70.28,70.94,62.4,67.53,72.21,70.06,9.56,17.12,3.26,29.94,1231,5.53,,,
2021,NU,1835,2643.0,76.2,63.75,86.67,78.2,70.4,90.62,,71.72,69.47,73.26,67.17,73.32,66.94,77.38,60.24,67.66,73.55,67.97,16.02,11.68,4.33,32.03,1757,4.25,,,
2021,NV,21101,226852.5,71.45,59.9,80.78,73.69,63.12,85.07,,66.2,65.56,61.93,58.76,67.1,65.15,69.59,51.42,56.89,64.32,54.94,16.13,21.94,6.99,45.06,19455,7.8,,,
2021,OM,1253,2373.6,77.21,68.57,85.53,77.54,71.48,89.94,,73.69,72.79,70.18,69.26,68.62,59.37,71.73,57.96,65.78,68.54,69.65,10.18,17.21,2.95,30.35,1179,5.91,,,
2021,SB,1382,1984.6,75.79,66.04,83.29,78.04,70.41,89.61,,68.57,74.9,68.67,69.49,68.58,59.16,69.79,58.81,65.53,68.1,67.45,11.72,17.63,3.2,32.55,1312,5.07,,,
2021,ST,9431,26805.5,71.16,62.24,80.32,70.92,63.06,86.43,,67.25,63.8,62.73,58.48,63.02,56.69,68.1,46.59,53.61,63.67,70.57,12.32,10.32,6.79,29.43,8659,8.19,,,
