measure,node,period_start,value,n,source_ref
fevs_leave_within,HE38,2019-01-01,15.0,11025,fevs:2019-prdf-level1
fevs_engagement,HE39,2019-01-01,74.0,8485,fevs:2019-prdf-level1
fevs_leave_any,HE39,2019-01-01,25.4,8485,fevs:2019-prdf-level1
fevs_leave_other,HE39,2019-01-01,8.4,8485,fevs:2019-prdf-level1
fevs_leave_outside,HE39,2019-01-01,3.8,8485,fevs:2019-prdf-level1
fevs_leave_within,HE39,2019-01-01,13.2,8485,fevs:2019-prdf-level1
fevs_engagement,HE70,2019-01-01,73.6,4337,fevs:2019-prdf-level1
fevs_leave_any,HE70,2019-01-01,27.6,4337,fevs:2019-prdf-level1
fevs_leave_other,HE70,2019-01-01,7.2,4337,fevs:2019-prdf-level1
fevs_leave_outside,HE70,2019-01-01,4.1,4337,fevs:2019-prdf-level1
fevs_leave_within,HE70,2019-01-01,16.2,4337,fevs:2019-prdf-level1
fevs_engagement,HSAC,2019-01-01,76.3,3120,fevs:2019-prdf-level1
